Name;Price;Km;Etat;Date;Carburant;Note;Number of reviews;"Accoudoir

";Assistant de démarrage en côte;"Capteurs d'aide au stationnement arrière
";Capteurs d'aide au stationnement avant;Climatisation;Climatisation automatique;Détecteur de lumière;Détecteur de pluie; Régulateur de vitesse; Rétroviseurs latéraux électriques; Sièges électriques;Start/Stop automatique;Système de navigation;Vitres électriques;Volant en cuir;Volant multifonctions
BMW 118 Série 1 1.5L 118i Advantage;EUR 18 525,-;33 817 km;Occasion;04/2018;Essence 91;N/A;0;False;False;False;False;True;False;False;False;True;False;False;True;True;False;False;False
BMW 535 MOTEUR NEUF PACK M TOURING F11 xDrive 313ch Luxe;EUR 18 990,-;8 000 km;Occasion, Historique entretien;02/2012;Diesel;N/A;0;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
BMW 420 420d Gran Coupé Sport - BVA Sport 190cv;EUR 18 990,-;143 000 km;Occasion;05/2018;Diesel;N/A;0;True;False;False;False;False;False;False;False;True;True;False;True;True;False;False;False
BMW 116 116i 109ch M Sport Ultimate 3p Euro6d-T;EUR 18 990,-;50 883 km;Occasion;08/2018;Essence;N/A;0;;;;;;;;;;;;;;;;
BMW X1 sDrive16d 116ch Lounge;EUR 18 990,-;82 273 km;Occasion, Historique entretien;08/2017;Diesel;4.0;-1;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True
BMW 220 220i 184ch Lounge Touvrant pano Radar AR Sièges ch;EUR 18 999,-;74 001 km;Occasion;04/2015;Essence;4.0;-2;True;True;False;False;True;True;True;True;False;False;False;True;False;False;False;False
BMW X5 BMW X5 - 5.0 V8 - 407 cv Pack M;EUR 19 500,-;165 727 km;Occasion, Historique entretien;09/2010;Essence;3.0;-1;True;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True
BMW 335 Coupe 335i 306ch Luxe Steptronic A;EUR 19 800,-;121 700 km;Occasion;07/2007;Essence;4.5;-5;;;;;;;;;;;;;;;;
BMW X1 xDrive20i Navi Bus. USB Klimaaut. Shz PDC;EUR 19 900,-;46 943 km;Occasion;04/2013;Super 95 / Essence 91 / Super Plus 98;4.5;-10;True;False;True;True;True;True;False;False;False;True;False;True;True;True;True;True
BMW 318 d Touring Sport Line LED Navi Bus. Tempomat;EUR 19 900,-;98 205 km;Occasion;12/2018;Diesel (Filtre à particules);4.5;-10;True;False;True;True;True;True;True;True;True;True;False;True;True;True;True;False
